_id,CFD_ID,Name_of_CFD_Unit,Allocation_Round,Technology_Type,Transmission_or_Distribution_connection,Status,Expected_Start_Date,Maximum_Contract_Capacity_MW
61,AR3-SOW-103,Sofia Offshore Wind Farm Phase 3,Allocation Round 3,Offshore Wind,Transmission,Pre-Start Date,2026-07-30 00:00:00.0000000,616.000
62,AR3-UPL-123,Muaitheabhal Wind Farm,Allocation Round 3,Remote Island Wind,Transmission,Terminated,2030-10-31 00:00:00.0000000,189.000
63,AR4-ADS-700,Adstock,Allocation Round 4,Solar PV,Distribution,Live (Pre-FIC),2025-06-30 00:00:00.0000000,15.000
64,AR4-ASF-700,Alfreton Solar Farm,Allocation Round 4,Solar PV,Distribution,Live (Post-FIC),2025-01-22 00:00:00.0000000,14.576
65,AR4-AWF-610,Arecleoch Wind Farm Extension,Allocation Round 4,Onshore Wind,Transmission,Pre-Start Date,2027-03-31 00:00:00.0000000,74.100
66,AR4-BCW-610,Broken Cross Wind Farm,Allocation Round 4,Onshore Wind,Transmission,Live (Pre-FIC),2027-03-31 00:00:00.0000000,42.350
67,AR4-BFL-910,Beaw Field,Allocation Round 4,Remote Island Wind,Transmission,Terminated,2026-11-30 00:00:00.0000000,72.000
68,AR4-BFS-700,Bracks Farm Solar Park,Allocation Round 4,Solar PV,Distribution,Live (Pre-FIC),2026-04-01 00:00:00.0000000,20.000
69,AR4-BHL-700,Bunkers Hill,Allocation Round 4,Solar PV,Distribution,Live (Pre-FIC),2026-04-01 00:00:00.0000000,49.900
70,AR4-BHS-700,BRYN HENLLYS Solar Farm,Allocation Round 4,Solar PV,Distribution,Terminated,2025-03-31 00:00:00.0000000,26.300
71,AR4-BRC-700,Brackley,Allocation Round 4,Solar PV,Distribution,Pre-Start Date,2026-06-30 00:00:00.0000000,20.000
72,AR4-BRN-700,Braintree,Allocation Round 4,Solar PV,Distribution,Live (Pre-FIC),2025-12-17 00:00:00.0000000,26.000
73,AR4-BSF-700,Brigstock Solar Farm,Allocation Round 4,Solar PV,Distribution,Pre-Start Date,2027-11-01 00:00:00.0000000,49.900
74,AR4-BSL-700,Basildon,Allocation Round 4,Solar PV,Distribution,Live (Pre-FIC),2025-06-30 00:00:00.0000000,15.000
75,AR4-BSP-700,Bishampton Solar PV,Allocation Round 4,Solar PV,Distribution,Live (Post-FIC),2025-01-01 00:00:00.0000000,30.000
76,AR4-CCP-700,Corner Copse,Allocation Round 4,Solar PV,Distribution,Pre-Start Date,2026-07-15 00:00:00.0000000,49.900
77,AR4-CHS-700,Cowley House Solar Farm,Allocation Round 4,Solar PV,Distribution,Pre-Start Date,2026-08-10 00:00:00.0000000,40.000
78,AR4-CLF-700,CLIFTON,Allocation Round 4,Solar PV,Distribution,Pre-Start Date,2026-04-01 00:00:00.0000000,35.000
79,AR4-CLH-710,Cleve Hill Solar Project,Allocation Round 4,Solar PV,Transmission,Live (Post-FIC),2025-11-03 00:00:00.0000000,109.790
80,AR4-CLY-700,Claydon,Allocation Round 4,Solar PV,Distribution,Pre-Start Date,2026-07-31 00:00:00.0000000,45.000
81,AR4-CNS-700,Carn Nicholas Solar Farm,Allocation Round 4,Solar PV,Distribution,Live (Post-FIC),2025-04-17 00:00:00.0000000,8.000
82,AR4-CRN-700,Cornwell,Allocation Round 4,Solar PV,Distribution,Pre-Start Date,2026-06-30 00:00:00.0000000,35.000
83,AR4-CSF-700,Cawarden Solar Farm,Allocation Round 4,Solar PV,Distribution,Pre-Start Date,2026-04-01 00:00:00.0000000,35.710
84,AR4-CSP-700,Cullerlie Solar PV,Allocation Round 4,Solar PV,Distribution,Pre-Start Date,2026-06-30 00:00:00.0000000,8.750
85,AR4-CWF-610,Chirmorie Wind Farm,Allocation Round 4,Onshore Wind,Transmission,Terminated,2026-03-26 00:00:00.0000000,81.600
86,AR4-CWS-610,Cumberhead West,Allocation Round 4,Onshore Wind,Transmission,Pre-Start Date,2026-07-01 00:00:00.0000000,113.200
87,AR4-DBF-700,Down Barn Farm Solar,Allocation Round 4,Solar PV,Distribution,Terminated,2025-03-31 00:00:00.0000000,40.000
88,AR4-DRF-700,Driffield,Allocation Round 4,Solar PV,Distribution,Live (Pre-FIC),2026-01-15 00:00:00.0000000,30.000
89,AR4-DVR-700,Doverdale,Allocation Round 4,Solar PV,Distribution,Live (Pre-FIC),2026-03-31 00:00:00.0000000,49.900
90,AR4-DWE-610,Douglas West Extension,Allocation Round 4,Onshore Wind,Transmission,Terminated,2025-03-31 00:00:00.0000000,71.500
91,AR4-EAS-011,EA3 Phase 1,Allocation Round 4,Offshore Wind,Transmission,Pre-Start Date,2027-03-31 00:00:00.0000000,288.910
92,AR4-EAS-012,EA3 Phase 2,Allocation Round 4,Offshore Wind,Transmission,Pre-Start Date,2029-03-29 00:00:00.0000000,375.590
93,AR4-EAS-013,EA3 Phase 3,Allocation Round 4,Offshore Wind,Transmission,Pre-Start Date,2029-03-30 00:00:00.0000000,390.030
94,AR4-EGH-710,Enso Green Holdings K Limited,Allocation Round 4,Solar PV,Transmission,Pre-MDD,2029-10-31 00:00:00.0000000,49.990
95,AR4-EST-700,Eastfields,Allocation Round 4,Solar PV,Distribution,Live (Pre-FIC),2026-04-01 00:00:00.0000000,25.000
96,AR4-FFN-700,FERRY FARM 3 NORTH,Allocation Round 4,Solar PV,Distribution,Pre-Start Date,2026-04-30 00:00:00.0000000,9.750
97,AR4-HCS-700,High Cayton Solar PV,Allocation Round 4,Solar PV,Distribution,Terminated,2025-03-31 00:00:00.0000000,49.990
