# Provenance: RO annual-aggregate emitted from Ofgem XLSX dataset companions (SY18-SY23).
#
# Each row below is extracted from the scheme-year XLSX listed in the .meta.json sources[] array.
# SY17 deferred per Phase 05.2 revision_decisions.sy17_disposition (PDF-only year).
#
# Source XLSX inventory (also enumerated in .meta.json):
#   - SY18 (2019-20): https://www.ofgem.gov.uk/sites/default/files/docs/2021/03/ro_annual_report_data_2019-20.xlsx
#   - SY19 (2020-21): https://www.ofgem.gov.uk/sites/default/files/2022-03/RO Annual Report 2020-21 - Dataset.xlsx
#   - SY20 (2021-22): https://www.ofgem.gov.uk/sites/default/files/2023-03/Renewables Obligation Annual Report Scheme Year 20 Dataset.xlsx
#   - SY21 (2022-23): https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
#   - SY22 (2023-24): https://www.ofgem.gov.uk/sites/default/files/2025-03/Renewables-Obligation-(RO)-2023-to-2024-(SY22)-Annual-Report-Dataset.xlsx
#   - SY23 (2024-25): https://www.ofgem.gov.uk/sites/default/files/2026-03/Renewables_Obligation_Annual_Report_Scheme_Year_23_Dataset-20260327121339.xlsx
#
# Audit log:
#   2026-04-24 — Phase 05.2 Plan 02 emission (replaces commit a720ae7 in-place).
#
scheme_year,year,country,technology,generation_gwh,rocs_issued,ro_cost_gbp_nominal,source_pdf_url
SY22,2024,GB,Hydro,2100.46,2100460.0,,https://www.ofgem.gov.uk/sites/default/files/2025-03/Renewables-Obligation-(RO)-2023-to-2024-(SY22)-Annual-Report-Dataset.xlsx
SY22,2024,GB,Hydro,176.79671428571416,176750.0,,https://www.ofgem.gov.uk/sites/default/files/2025-03/Renewables-Obligation-(RO)-2023-to-2024-(SY22)-Annual-Report-Dataset.xlsx
SY22,2024,GB,Landfill gas,2102.079,2044581.0,,https://www.ofgem.gov.uk/sites/default/files/2025-03/Renewables-Obligation-(RO)-2023-to-2024-(SY22)-Annual-Report-Dataset.xlsx
SY22,2024,GB,Landfill gas,244.063,244063.0,,https://www.ofgem.gov.uk/sites/default/files/2025-03/Renewables-Obligation-(RO)-2023-to-2024-(SY22)-Annual-Report-Dataset.xlsx
SY22,2024,GB,Landfill gas,69.854,69854.0,,https://www.ofgem.gov.uk/sites/default/files/2025-03/Renewables-Obligation-(RO)-2023-to-2024-(SY22)-Annual-Report-Dataset.xlsx
SY22,2024,GB,Offshore wind,20115.016374261864,37742580.0,,https://www.ofgem.gov.uk/sites/default/files/2025-03/Renewables-Obligation-(RO)-2023-to-2024-(SY22)-Annual-Report-Dataset.xlsx
SY22,2024,GB,Offshore wind,1107.8981190470747,2611241.0,,https://www.ofgem.gov.uk/sites/default/files/2025-03/Renewables-Obligation-(RO)-2023-to-2024-(SY22)-Annual-Report-Dataset.xlsx
SY22,2024,GB,Offshore wind,2123.1701666664003,3947507.0,,https://www.ofgem.gov.uk/sites/default/files/2025-03/Renewables-Obligation-(RO)-2023-to-2024-(SY22)-Annual-Report-Dataset.xlsx
SY22,2024,GB,Onshore wind,5851.925666666429,5617852.0,,https://www.ofgem.gov.uk/sites/default/files/2025-03/Renewables-Obligation-(RO)-2023-to-2024-(SY22)-Annual-Report-Dataset.xlsx
SY22,2024,GB,Onshore wind,15430.216999999333,14771333.0,,https://www.ofgem.gov.uk/sites/default/files/2025-03/Renewables-Obligation-(RO)-2023-to-2024-(SY22)-Annual-Report-Dataset.xlsx
