# Provenance: Monthly ROC-issue aggregate regenerated from Ofgem 12-year XLSX (D-01).
# Source: data/raw/ofgem/rocs_report_2006_to_2018_20250410081520.xlsx
#   Sheet: 'ROCs by Tech & Month'
#   Coverage: Apr 2006 – Mar 2018 (12 obligation years SY5–SY17)
# generation_mwh is null throughout — the 12-year XLSX carries ROC counts only.
# country='GB' throughout — the sheet aggregates all UK nations.
#
# Re-generate: uv run python3 -c
#   "from uk_subsidy_tracker.data.ofgem_aggregate import emit_ro_generation_csv; emit_ro_generation_csv()"
#
# SHA256 of source XLSX: 76104acfbb46304867c14549e32fe98e1d0bc3791da1e1a431e8958a80d890b1
year,month,country,technology,generation_mwh,rocs_issued
2008,4,GB,Off-shore Wind,,84045.0
2008,4,GB,On-shore Wind,,398302.0
2008,4,GB,Photovoltaic,,25.0
2008,4,GB,Photovoltaic 50kW DNC or less,,2851.0
2008,4,GB,Sewage Gas,,31255.0
2008,4,GB,Waste using an Advanced Conversion Technology,,163.0
2008,4,GB,Wave Power,,2.0
2008,4,GB,Wind 50kW DNC or less,,4734.0
2008,5,GB,Biomass,,0.0
2008,5,GB,Biomass using an Advanced Conversion Technology,,1198.0
2008,5,GB,Co-firing of Biomass with Fossil Fuel,,127357.0
2008,5,GB,Co-firing of Energy Crops,,151.0
2008,5,GB,Fuelled,,127527.0
2008,5,GB,Hydro 20MW DNC or less,,113242.0
2008,5,GB,Hydro 50kW DNC or less,,114.0
2008,5,GB,Hydro greater than 20MW DNC,,0.0
2008,5,GB,Landfill Gas,,389673.0
2008,5,GB,Micro Hydro,,2742.0
2008,5,GB,Off-shore Wind,,81393.0
2008,5,GB,On-shore Wind,,301871.0
2008,5,GB,Photovoltaic,,47.0
2008,5,GB,Photovoltaic 50kW DNC or less,,2.0
2008,5,GB,Sewage Gas,,36915.0
2008,5,GB,Waste using an Advanced Conversion Technology,,38.0
2008,5,GB,Wave Power,,0.0
2008,5,GB,Wind 50kW DNC or less,,2.0
2008,6,GB,Biomass,,0.0
2008,6,GB,Biomass using an Advanced Conversion Technology,,1219.0
2008,6,GB,Co-firing of Biomass with Fossil Fuel,,133200.0
2008,6,GB,Co-firing of Energy Crops,,384.0
2008,6,GB,Fuelled,,112251.0
2008,6,GB,Hydro 20MW DNC or less,,84342.0
2008,6,GB,Hydro 50kW DNC or less,,104.0
2008,6,GB,Hydro greater than 20MW DNC,,0.0
2008,6,GB,Landfill Gas,,376393.0
2008,6,GB,Micro Hydro,,2740.0
2008,6,GB,Off-shore Wind,,74100.0
2008,6,GB,On-shore Wind,,360292.0
2008,6,GB,Photovoltaic,,63.0
2008,6,GB,Photovoltaic 50kW DNC or less,,7.0
2008,6,GB,Sewage Gas,,35515.0
2008,6,GB,Waste using an Advanced Conversion Technology,,31.0
2008,6,GB,Wave Power,,1.0
2008,6,GB,Wind 50kW DNC or less,,3.0
2008,7,GB,Biomass,,0.0
2008,7,GB,Biomass using an Advanced Conversion Technology,,1313.0
